date_index,AverageWeeklyHours,ChallengerJobCuts,UnemploymentRate,7YearNoteAuction,CoreCPIMoM,FedInterestRateDecision,BloombergConsumerConfidence,MichiganInflationExpectations,ChicagoPMI,MBA30YearMortgageRate,EIAWeeklyDistillatesStocks,DomesticTruckSales,TradeBalance
2010-07-16,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,28.0,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-19,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,28.0,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-20,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,27.5,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-21,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,27.5,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-22,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,27.5,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-23,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,27.5,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-26,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,27.5,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-27,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,26.0,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-28,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,26.0,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-29,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,26.0,2.90%,59.1,4.75%,1.41M,4.92M,-42.3B
2010-07-30,34.1,39.36K,9.50%,2.50%,0.20%,0.25%,26.0,2.70%,62.3,4.75%,1.41M,4.92M,-42.3B
2010-08-01,34.1,41.68K,9.50%,2.38%,0.20%,0.25%,26.0,2.70%,62.3,4.65%,2.30M,5.08M,-42.3B
2010-08-02,34.1,41.68K,9.50%,2.38%,0.20%,0.25%,26.0,2.70%,62.3,4.65%,2.30M,5.08M,-42.3B
2010-08-03,34.1,41.68K,9.50%,2.38%,0.20%,0.25%,25.0,2.70%,62.3,4.65%,2.30M,5.08M,-42.3B
2010-08-04,34.1,41.68K,9.50%,2.38%,0.20%,0.25%,25.0,2.70%,62.3,4.65%,2.30M,5.08M,-42.3B
2010-08-05,34.1,41.68K,9.50%,2.38%,0.20%,0.25%,25.0,2.70%,62.3,4.65%,2.30M,5.08M,-42.3B
2010-08-06,34.2,41.68K,9.50%,2.38%,0.20%,0.25%,25.0,2.70%,62.3,4.65%,2.30M,5.08M,-42.3B
2010-08-10,34.2,41.68K,9.50%,2.38%,0.20%,0.25%,26.5,2.70%,62.3,4.65%,2.30M,5.08M,-42.3B
2010-08-11,34.2,41.68K,9.50%,2.38%,0.20%,0.25%,26.5,2.70%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-12,34.2,41.68K,9.50%,2.38%,0.20%,0.25%,26.5,2.70%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-13,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,26.5,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-16,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,26.5,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-17,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,27.5,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-18,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,27.5,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-19,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,27.5,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-20,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,27.5,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-24,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,28.0,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-25,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,28.0,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-26,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,28.0,2.80%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-27,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,28.0,2.70%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-30,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,28.0,2.70%,62.3,4.65%,2.30M,5.08M,-49.9B
2010-08-31,34.2,41.68K,9.50%,2.38%,0.10%,0.25%,27.5,2.70%,56.7,4.65%,2.30M,5.08M,-49.9B
2010-09-01,34.2,34.77K,9.50%,1.85%,0.10%,0.25%,27.5,2.70%,56.7,4.53%,1.23M,5.06M,-49.9B
2010-09-02,34.2,34.77K,9.50%,1.85%,0.10%,0.25%,27.5,2.70%,56.7,4.53%,1.23M,5.06M,-49.9B
2010-09-03,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,27.5,2.70%,56.7,4.53%,1.23M,5.06M,-49.9B
2010-09-08,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,27.5,2.70%,56.7,4.53%,1.23M,5.06M,-49.9B
2010-09-09,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,27.5,2.70%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-10,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,27.5,2.70%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-13,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,27.5,2.70%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-14,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,28.5,2.70%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-15,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,28.5,2.70%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-16,34.2,34.77K,9.60%,1.85%,0.10%,0.25%,28.5,2.70%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-17,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,28.5,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-20,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,28.5,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-21,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,27.0,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-22,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,27.0,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-23,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,27.0,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-24,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,27.0,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-28,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,27.5,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-29,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,27.5,2.20%,56.7,4.53%,1.23M,5.06M,-42.8B
2010-09-30,34.2,34.77K,9.60%,1.85%,0.00%,0.25%,27.5,2.20%,60.4,4.53%,1.23M,5.06M,-42.8B
2010-10-01,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-04,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-05,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-06,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-07,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-08,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-12,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-13,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.5,2.20%,60.4,4.41%,-0.54M,5.01M,-42.8B
2010-10-14,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.5,2.20%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-15,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.5,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-18,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.5,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-19,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.0,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-20,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.0,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-21,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.0,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-22,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.0,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-25,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,27.0,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-26,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-27,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-28,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.60%,60.4,4.41%,-0.54M,5.01M,-46.3B
2010-10-29,34.2,37.15K,9.60%,1.88%,0.00%,0.25%,26.5,2.70%,60.6,4.41%,-0.54M,5.01M,-46.3B
2010-11-01,34.2,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,2.70%,60.6,4.27%,-1.86M,5.46M,-46.3B
2010-11-02,34.2,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,2.70%,60.6,4.27%,-1.86M,5.46M,-46.3B
2010-11-03,34.2,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,2.70%,60.6,4.27%,-1.86M,5.46M,-46.3B
2010-11-04,34.2,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,2.70%,60.6,4.27%,-1.86M,5.46M,-46.3B
2010-11-05,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,2.70%,60.6,4.27%,-1.86M,5.46M,-46.3B
2010-11-08,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,2.70%,60.6,4.27%,-1.86M,5.46M,-46.3B
2010-11-09,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,2.70%,60.6,4.27%,-1.86M,5.46M,-46.3B
2010-11-10,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,2.70%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-12,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-15,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,27.0,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-16,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-17,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-18,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-19,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-23,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-24,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-26,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,26.5,3.00%,60.6,4.27%,-1.86M,5.46M,-44.0B
2010-11-30,34.3,37.99K,9.60%,1.88%,0.00%,0.25%,27.5,3.00%,62.5,4.27%,-1.86M,5.46M,-44.0B
2010-12-01,34.3,48.71K,9.60%,2.25%,0.00%,0.25%,27.5,3.00%,62.5,4.47%,-1.35M,5.40M,-44.0B
2010-12-02,34.3,48.71K,9.60%,2.25%,0.00%,0.25%,27.5,3.00%,62.5,4.47%,-1.35M,5.40M,-44.0B
2010-12-03,34.3,48.71K,9.80%,2.25%,0.00%,0.25%,27.5,3.00%,62.5,4.47%,-1.35M,5.40M,-44.0B
2010-12-07,34.3,48.71K,9.80%,2.25%,0.00%,0.25%,27.5,3.00%,62.5,4.47%,-1.35M,5.40M,-44.0B
2010-12-08,34.3,48.71K,9.80%,2.25%,0.00%,0.25%,27.5,3.00%,62.5,4.47%,-1.35M,5.40M,-44.0B
2010-12-09,34.3,48.71K,9.80%,2.25%,0.00%,0.25%,27.5,3.00%,62.5,4.47%,-1.35M,5.40M,-44.0B
2010-12-10,34.3,48.71K,9.80%,2.25%,0.00%,0.25%,27.5,2.90%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-14,34.3,48.71K,9.80%,2.25%,0.00%,0.25%,28.5,2.90%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-15,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,28.5,2.90%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-16,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,28.5,2.90%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-17,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,28.5,2.90%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-21,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,29.5,2.90%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-22,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,29.5,2.90%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-23,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,29.5,3.00%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-24,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,29.5,3.00%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-28,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,28.0,3.00%,62.5,4.47%,-1.35M,5.40M,-38.7B
2010-12-30,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,28.0,3.00%,68.6,4.47%,-1.35M,5.40M,-38.7B
2010-12-31,34.3,48.71K,9.80%,2.25%,0.10%,0.25%,28.0,3.00%,68.6,4.47%,-1.35M,5.40M,-38.7B
2011-01-01,34.3,32.00K,9.80%,2.75%,0.10%,0.25%,28.0,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-03,34.3,32.00K,9.80%,2.75%,0.10%,0.25%,28.0,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-04,34.3,32.00K,9.80%,2.75%,0.10%,0.25%,27.5,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-05,34.3,32.00K,9.80%,2.75%,0.10%,0.25%,27.5,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-06,34.3,32.00K,9.80%,2.75%,0.10%,0.25%,27.5,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-07,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,27.5,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-11,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,30.0,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-12,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,30.0,3.00%,68.6,4.83%,0.69M,5.46M,-38.7B
2011-01-13,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,30.0,3.00%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-14,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,30.0,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-18,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.5,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-19,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.5,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-20,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.5,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-21,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.5,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-25,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.0,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-26,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.0,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-27,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.0,3.30%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-28,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.0,3.40%,68.6,4.83%,0.69M,5.46M,-38.3B
2011-01-31,34.3,32.00K,9.40%,2.75%,0.10%,0.25%,28.0,3.40%,68.8,4.83%,0.69M,5.46M,-38.3B
2011-02-01,34.3,38.52K,9.40%,2.63%,0.10%,0.25%,29.5,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-02,34.3,38.52K,9.40%,2.63%,0.10%,0.25%,29.5,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-03,34.3,38.52K,9.40%,2.63%,0.10%,0.25%,29.5,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-04,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,29.5,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-07,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,29.5,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-08,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,27.0,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-09,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,27.0,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-10,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,27.0,3.40%,68.8,4.81%,0.48M,5.70M,-38.3B
2011-02-11,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,27.0,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-15,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,27.0,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-16,34.2,38.52K,9.00%,2.63%,0.10%,0.25%,27.0,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-17,34.2,38.52K,9.00%,2.63%,0.20%,0.25%,28.3,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-18,34.2,38.52K,9.00%,2.63%,0.20%,0.25%,28.3,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-22,34.2,38.52K,9.00%,2.63%,0.20%,0.25%,28.3,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-23,34.2,38.52K,9.00%,2.63%,0.20%,0.25%,28.3,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-24,34.2,38.52K,9.00%,2.63%,0.20%,0.25%,30.4,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-25,34.2,38.52K,9.00%,2.63%,0.20%,0.25%,30.4,3.40%,68.8,4.81%,0.48M,5.70M,-40.6B
2011-02-28,34.2,38.52K,9.00%,2.63%,0.20%,0.25%,30.4,3.40%,71.2,4.81%,0.48M,5.70M,-40.6B
2011-03-01,34.2,50.70K,9.00%,2.75%,0.20%,0.25%,30.4,3.40%,71.2,5.01%,-1.44M,5.55M,-40.6B
2011-03-02,34.2,50.70K,9.00%,2.75%,0.20%,0.25%,30.4,3.40%,71.2,5.01%,-1.44M,5.55M,-40.6B
2011-03-03,34.2,50.70K,9.00%,2.75%,0.20%,0.25%,30.35,3.40%,71.2,5.01%,-1.44M,5.55M,-40.6B
2011-03-04,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,30.35,3.40%,71.2,5.01%,-1.44M,5.55M,-40.6B
2011-03-07,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,30.35,3.40%,71.2,5.01%,-1.44M,5.55M,-40.6B
2011-03-08,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,30.35,3.40%,71.2,5.01%,-1.44M,5.55M,-40.6B
2011-03-09,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,30.35,3.40%,71.2,5.01%,-1.44M,5.55M,-40.6B
2011-03-10,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,27.75,3.40%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-11,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,27.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-15,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,27.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-16,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,27.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-17,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-18,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-21,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-22,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-23,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.75,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-24,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.55,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-25,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.55,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-28,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.55,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-29,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.55,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-30,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,25.55,4.60%,71.2,5.01%,-1.44M,5.55M,-46.3B
2011-03-31,34.2,50.70K,8.90%,2.75%,0.20%,0.25%,26.55,4.60%,70.6,5.01%,-1.44M,5.55M,-46.3B
2011-04-01,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,26.55,4.60%,70.6,4.87%,-1.07M,5.36M,-46.3B
2011-04-04,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,26.55,4.60%,70.6,4.87%,-1.07M,5.36M,-46.3B
2011-04-05,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,26.55,4.60%,70.6,4.87%,-1.07M,5.36M,-46.3B
2011-04-06,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,26.55,4.60%,70.6,4.87%,-1.07M,5.36M,-46.3B
2011-04-07,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,27.75,4.60%,70.6,4.87%,-1.07M,5.36M,-46.3B
2011-04-08,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,27.75,4.60%,70.6,4.87%,-1.07M,5.36M,-46.3B
2011-04-12,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,27.75,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-13,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,27.75,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-14,34.3,41.53K,8.80%,2.88%,0.20%,0.25%,28.5,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-15,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.5,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-19,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.5,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-20,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.5,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-21,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.7,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-22,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.7,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-25,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.7,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-26,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.7,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-27,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,28.7,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-28,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,27.45,4.60%,70.6,4.87%,-1.07M,5.36M,-45.8B
2011-04-29,34.3,41.53K,8.80%,2.88%,0.10%,0.25%,27.45,4.60%,67.6,4.87%,-1.07M,5.36M,-45.8B
2011-05-01,34.3,36.49K,8.80%,2.63%,0.10%,0.25%,27.45,4.60%,67.6,4.85%,-1.99M,5.55M,-45.8B
2011-05-02,34.3,36.49K,8.80%,2.63%,0.10%,0.25%,27.45,4.60%,67.6,4.85%,-1.99M,5.55M,-45.8B
2011-05-03,34.3,36.49K,8.80%,2.63%,0.10%,0.25%,27.45,4.60%,67.6,4.85%,-1.99M,5.55M,-45.8B
2011-05-04,34.3,36.49K,8.80%,2.63%,0.10%,0.25%,27.45,4.60%,67.6,4.85%,-1.99M,5.55M,-45.8B
2011-05-05,34.3,36.49K,8.80%,2.63%,0.10%,0.25%,26.9,4.60%,67.6,4.85%,-1.99M,5.55M,-45.8B
2011-05-06,34.3,36.49K,9.00%,2.63%,0.10%,0.25%,26.9,4.60%,67.6,4.85%,-1.99M,5.55M,-45.8B
2011-05-10,34.3,36.49K,9.00%,2.63%,0.10%,0.25%,26.9,4.60%,67.6,4.85%,-1.99M,5.55M,-45.8B
2011-05-11,34.3,36.49K,9.00%,2.63%,0.10%,0.25%,26.9,4.60%,67.6,4.85%,-1.99M,5.55M,-48.2B
2011-05-12,34.3,36.49K,9.00%,2.63%,0.10%,0.25%,26.55,4.60%,67.6,4.85%,-1.99M,5.55M,-48.2B
2011-05-13,34.3,36.49K,9.00%,2.63%,0.20%,0.25%,26.55,4.40%,67.6,4.85%,-1.99M,5.55M,-48.2B
2011-05-16,34.3,36.49K,9.00%,2.63%,0.20%,0.25%,26.55,4.40%,67.6,4.85%,-1.99M,5.55M,-48.2B
